text,label,typ
Autos fahren in die Fußgängerzone und gefährden Radfahrer.,Gefahrenstelle,synthetisch
Auffahrt auf die Stadtautobahn kreuzt den Hauptradweg gefährlich.,Gefahrenstelle,synthetisch
Omnibusbahnhof – Busse fahren ohne Rücksicht auf Radfahrer aus.,Gefahrenstelle,synthetisch
Straße nach Bauarbeiten sehr schmal – kein Platz für Radfahrer.,Gefahrenstelle,synthetisch
Kreuzung beim AKH immer wieder blockiert durch haltende Taxis.,Gefahrenstelle,synthetisch
Rücksichtsloser Überholvorgang auf der Praterstraße.,Gefahrenstelle,synthetisch
Nacht: Schlechte Beleuchtung macht Kreuzung gefährlich.,Gefahrenstelle,synthetisch
Gegenverkehr auf Einbahn – Radfahrer haben keine Ausweichmöglichkeit.,Gefahrenstelle,synthetisch
Baustelle verengt Fahrbahn auf gefährliche Breite für Radfahrer.,Gefahrenstelle,synthetisch
Fußgänger queren Radweg ohne zu schauen am Karlsplatz.,Gefahrenstelle,synthetisch
Taxifahrer halten auf dem Radstreifen vor dem Opernring.,Gefahrenstelle,synthetisch
Autofahrer ignorieren Rotphase an der Radfahrerampel.,Gefahrenstelle,synthetisch
Enge Unterführung – kein Platz für Begegnungsverkehr.,Gefahrenstelle,synthetisch
Schutzweg ohne Wartepflicht für Autos – Radfahrer gefährdet.,Gefahrenstelle,synthetisch
Kreuzung Gürtel/Mariahilfer Straße unübersichtlich für Radfahrer.,Gefahrenstelle,synthetisch
Abstand beim Überholen durch LKW viel zu gering.,Gefahrenstelle,synthetisch
Fußgänger stehen auf der Radfahrspur und blockieren.,Gefahrenstelle,synthetisch
Kreuzung beim Westbahnhof – schlechte Sicht durch parkende Autos.,Gefahrenstelle,synthetisch
Starker Gegenverkehr auf Radweg ohne bauliche Trennung.,Gefahrenstelle,synthetisch
Fehlende Warnbeschilderung vor gefährlicher Kurve.,Gefahrenstelle,synthetisch
Schulkinder queren ungesichert den Radweg in Floridsdorf.,Gefahrenstelle,synthetisch
Lieferzone direkt auf dem Radstreifen in der Innenstadt.,Gefahrenstelle,synthetisch
Dichte Bebauung verhindert Sicht beim Ausfahren aus Tiefgarage.,Gefahrenstelle,synthetisch
Rechtsabbiegestreifen der Autos endet direkt im Radweg.,Gefahrenstelle,synthetisch
Nahezu tägliche Beinahunfälle an dieser Stelle im 20. Bezirk.,Gefahrenstelle,synthetisch
Schnelles Fahren auf der Donauuferstraße – Radfahrer in Gefahr.,Gefahrenstelle,synthetisch
Dunkle Unterführung ohne Spiegel – blindes Abbiegen nötig.,Gefahrenstelle,synthetisch
Autos parken auf Gehsteig und zwingen Radfahrer auf Fahrbahn.,Gefahrenstelle,synthetisch
Kreuzungsbereich Spittelau schlecht einsehbar für Radfahrer.,Gefahrenstelle,synthetisch
Ampelausfall an vielbefahrener Kreuzung ohne Ersatzregelung.,Gefahrenstelle,synthetisch
Parkende Autos stehen täglich auf dem Radstreifen.,Hindernis,synthetisch
Der Steg ist wegen Stufen nur schwer mit dem Fahrrad passierbar.,Hindernis,synthetisch
Breite Risse im Betonboden des Radwegs – Sturzgefahr.,Hindernis,synthetisch
Betonelemente versperren den Durchgang am Radweg.,Hindernis,synthetisch
Radfahrerspur im Winter nicht geräumt – Eisglätte.,Hindernis,synthetisch
Schlagloch mitten auf der Fahrspur – schwer ausweichbar.,Hindernis,synthetisch
Schwellen auf dem Radweg sehr unangenehm und gefährlich.,Hindernis,synthetisch
Glasscherben auf dem Radweg täglich ein Problem.,Hindernis,synthetisch
Mülltonnen stehen auf dem Radweg und versperren den Weg.,Hindernis,synthetisch
Großer Ast nach dem Sturm blockiert den Hauptradweg.,Hindernis,synthetisch
Bauschutt wurde nicht ordentlich von der Radspur entfernt.,Hindernis,synthetisch
Starke Pfütze nach Regen macht den Radweg unbefahrbar.,Hindernis,synthetisch
Kieselsteine von der Baustelle überall auf dem Radstreifen.,Hindernis,synthetisch
Grünschnitt liegt seit Tagen unentfernt auf dem Radweg.,Hindernis,synthetisch
Container der Müllabfuhr blockiert die Radspur.,Hindernis,synthetisch
Tiefes Schlagloch nach Frostschäden auf der Radspur.,Hindernis,synthetisch
Matsch nach Regenfällen macht Radweg gefährlich rutschig.,Hindernis,synthetisch
Splitt auf dem Radweg nach Winterdienst nicht weggeräumt.,Hindernis,synthetisch
Palette von Lieferwagen mitten auf dem Radstreifen abgestellt.,Hindernis,synthetisch
Nägel auf dem Radweg – wahrscheinlich von der Baustelle.,Hindernis,synthetisch
Umgekippter Motorroller blockiert halben Radweg.,Hindernis,synthetisch
Öllache auf dem Radweg nach Unfall nicht gereinigt.,Hindernis,synthetisch
Bauzaun ragt in den Radweg hinein.,Hindernis,synthetisch
Straßenbahnschienen – Fahrradreifen kann sich festfahren.,Hindernis,synthetisch
Bordstein zu hoch abgesetzt – Fahrrad springt beim Überfahren.,Hindernis,synthetisch
Rostiger Metalldeckel steht über der Fahrbahn hinaus.,Hindernis,synthetisch
Sandverwehungen auf dem Radweg im Bereich Donauinsel.,Hindernis,synthetisch
Laub sehr nass und rutschig – Herbst ist gefährlich.,Hindernis,synthetisch
Gerüst der Hausrenovierung ragt weit in den Radweg.,Hindernis,synthetisch
Betonpfosten mitten auf dem alten Radweg ohne Markierung.,Hindernis,synthetisch
Poller am Beginn des Radwegs ohne ausreichende Kennzeichnung.,Hindernis,synthetisch
Wasseransammlung nach Starkregen macht Unterführung unpassierbar.,Hindernis,synthetisch
Müll und Scherben nach Veranstaltung auf Donauinsel-Radweg.,Hindernis,synthetisch
Autoreifen liegt mitten auf dem Radstreifen.,Hindernis,synthetisch
Baumwurzeln heben Asphalt an – holprig und gefährlich.,Hindernis,synthetisch
Schotter nach Bauarbeiten auf der Radspur verteilt.,Hindernis,synthetisch
Behinderung durch Falschparker im Kreuzungsbereich.,Hindernis,synthetisch
Plastikfolie von Baustelle weht auf Radweg.,Hindernis,synthetisch
Eisplatten nach Frost auf dem schattigen Radweg.,Hindernis,synthetisch
Sandsäcke vom Hochwasserschutz noch auf dem Radweg.,Hindernis,synthetisch
Abgebrochener Straßenbelag bildet gefährliche Stufen.,Hindernis,synthetisch
Kleintransporter hält täglich auf dem Radstreifen.,Hindernis,synthetisch
Tauben-Fütterungsreste machen Radweg glitschig.,Hindernis,synthetisch
Herausragender Kanaldeckel auf der Radspur.,Hindernis,synthetisch
Betonmischer hält auf dem Radweg beim Bau.,Hindernis,synthetisch
Verankerungen von Werbebanner stehen auf Radweg.,Hindernis,synthetisch
Mehrere Fahrräder verbotswidrig auf Radspur abgestellt.,Hindernis,synthetisch
Straßenschäden nach Kanalarbeiten – Radweg holprig.,Hindernis,synthetisch
Absperrband der Polizei blockiert den Radweg.,Hindernis,synthetisch
Überfahrener Rucksack – Fundstück mitten auf der Spur.,Hindernis,synthetisch
Defekter Poller liegt quer über dem Radweg.,Hindernis,synthetisch
Tischler hat Holzbretter auf dem Radstreifen gelagert.,Hindernis,synthetisch
Straßenmarkierung abgeblättert – scharfe Kanten auf Fahrbahn.,Hindernis,synthetisch
Wasserrohrbruch – Wasser auf dem Radweg gefroren.,Hindernis,synthetisch
Schnee von Einfahrt auf Radweg geschoben.,Hindernis,synthetisch
Zugemüllter Unterstand versperrt Radweg-Zugang.,Hindernis,synthetisch
Kaputte Absperrung ragt in den Radweg hinein.,Hindernis,synthetisch
Schwere Beschädigungen am Belag durch Frost.,Hindernis,synthetisch
Stadtwerke-Fahrzeug parkt auf dem Radstreifen.,Hindernis,synthetisch
Holzkisten vor dem Supermarkt auf dem Radweg.,Hindernis,synthetisch
Kabelkanal der Bauarbeiter über Radweg gespannt.,Hindernis,synthetisch
Fahrverbotsschild ohne Ausnahme für Radfahrer an Baustelle.,Markierung oder Schild,synthetisch
Fahrverbot-Schild auf offizieller MTB-Strecke widersprüchlich.,Markierung oder Schild,synthetisch
Allgemeines Fahrverbot ohne Radfahrer-Ausnahme auf öffentlicher Straße.,Markierung oder Schild,synthetisch
Schild irreführend – Fahrverbot gilt nicht für Radfahrer.,Markierung oder Schild,synthetisch
Radroute-Schild zeigt falsche Richtung.,Markierung oder Schild,synthetisch
Radweg-Schild bei Unterführung entfernt – Fußgänger am Radweg.,Markierung oder Schild,synthetisch
Fehlende Markierung vor der Ampel für Radfahrer.,Markierung oder Schild,synthetisch
Linksabbiegen für Radfahrer ohne Ausnahme verboten.,Markierung oder Schild,synthetisch
Zusatztafel ausgenommen Fahrrad fehlt am Einfahrtsschild.,Markierung oder Schild,synthetisch
Radwegmarkierung nach Baustelle nicht erneuert.,Markierung oder Schild,synthetisch
Einbahn-Öffnung für Radfahrer nicht beschildert.,Markierung oder Schild,synthetisch
Kein Hinweis auf Ende des Fahrverbots für Radfahrer.,Markierung oder Schild,synthetisch
Bodenmarkierung für Radfahrer komplett verblasst.,Markierung oder Schild,synthetisch
Abbiege-Gebot ohne Ausnahme für Radfahrer nicht sinnvoll.,Markierung oder Schild,synthetisch
Radweg-Ende nicht markiert – Radfahrer fahren auf Gehweg weiter.,Markierung oder Schild,synthetisch
Schild für Radfahrer von geparktem LKW verdeckt.,Markierung oder Schild,synthetisch
Beschilderung am Kreuzungsbereich sehr unübersichtlich.,Markierung oder Schild,synthetisch
Rechtsabbiege-Gebot blockiert Zugang zum Gürtelradweg.,Markierung oder Schild,synthetisch
Keine Markierung für indirektes Linksabbiegen vorhanden.,Markierung oder Schild,synthetisch
Ausgenommen-Fahrrad Aufkleber auf neuem Schild kaum lesbar.,Markierung oder Schild,synthetisch
Geradeausgebot gilt auch für Radfahrer obwohl Radweg weitergeht.,Markierung oder Schild,synthetisch
Wegweisungsschild zum Donaukanal zeigt falsche Abzweigung.,Markierung oder Schild,synthetisch
Fehlende Piktogramme auf der Fahrbahn im Kreuzungsbereich.,Markierung oder Schild,synthetisch
Schild für Radfahrzone wurde entfernt ohne Ersatz.,Markierung oder Schild,synthetisch
Vorrang-Schild für Radfahrer fehlt an wichtiger Querung.,Markierung oder Schild,synthetisch
Radwegführung nach Kreuzung nicht durch Markierung erkennbar.,Markierung oder Schild,synthetisch
Keine Kennzeichnung des Zweirichtungsradwegs.,Markierung oder Schild,synthetisch
Aufstellfläche für Radfahrer vor Ampel fehlt Markierung.,Markierung oder Schild,synthetisch
Radstreifen endet ohne Hinweis mitten auf der Fahrbahn.,Markierung oder Schild,synthetisch
Verkehrszeichen nach Umbau nicht angepasst.,Markierung oder Schild,synthetisch
Radfahrer-Schleuse nicht beschildert.,Markierung oder Schild,synthetisch
Fehlende Bodenmakierung vor Schutzweg.,Markierung oder Schild,synthetisch
Schild in falscher Höhe – für Radfahrer nicht sichtbar.,Markierung oder Schild,synthetisch
Keine Markierung für die Radfahrer-Querung am Karlsplatz.,Markierung oder Schild,synthetisch
Sperrlinie verhindert legales Abbiegen auf Radweg.,Markierung oder Schild,synthetisch
Neue Ampel ohne angepasste Beschilderung für Radfahrer.,Markierung oder Schild,synthetisch
Kreuzungsmarkierungen für Radfahrer nach Repaving fehlen.,Markierung oder Schild,synthetisch
Hinweisschild Radroute nach Umbau nicht wieder aufgestellt.,Markierung oder Schild,synthetisch
Warnschild vor Engstelle für Radfahrer fehlt.,Markierung oder Schild,synthetisch
Zu viele Schilder auf engem Raum – unübersichtlich.,Markierung oder Schild,synthetisch
Piktogramm Fahrrad auf Fahrbahn kaum noch sichtbar.,Markierung oder Schild,synthetisch
Schild für Tempo-30-Zone für Radfahrer nicht einsehbar.,Markierung oder Schild,synthetisch
Radwegende-Schild fehlt – Radfahrer wissen nicht wohin.,Markierung oder Schild,synthetisch
Gefahrensymbol vor holprigem Untergrund fehlt.,Markierung oder Schild,synthetisch
Einbahn-Ausnahme für Radfahrer nicht an Einfahrt erkennbar.,Markierung oder Schild,synthetisch
Radfahrstreifen-Markierung unterbrochen ohne Erklärung.,Markierung oder Schild,synthetisch
Stopptafel für Radfahrer durch Baumwuchs verdeckt.,Markierung oder Schild,synthetisch
Neues Verkehrszeichen ohne entsprechende Boden-Markierung.,Markierung oder Schild,synthetisch
Kein Schild für empfohlene Radroute nach der Kreuzung.,Markierung oder Schild,synthetisch
Ausnahme-Regelung nur auf einer Seite beschildert.,Markierung oder Schild,synthetisch
Radfahrer-Vorrangschild nach Kreuzungsumbau entfernt.,Markierung oder Schild,synthetisch
Kennzeichnung des Begegnungsradwegs fehlt.,Markierung oder Schild,synthetisch
Schild ragt auf Radfahrhöhe in den Weg hinein.,Markierung oder Schild,synthetisch
Radweg-Benützungspflicht-Ende fehlt nach Engstelle.,Markierung oder Schild,synthetisch
Hinweis auf Radweg-Umleitung nur auf einer Seite.,Markierung oder Schild,synthetisch
Fahrradstraße nicht als solche gekennzeichnet.,Markierung oder Schild,synthetisch
Kein Piktogramm am Beginn des Mehrzweckstreifens.,Markierung oder Schild,synthetisch
Fahrtrichtungspfeil für Radfahrer fehlt.,Markierung oder Schild,synthetisch
Zustiegszone Straßenbahn ohne Markierung für Radfahrer.,Markierung oder Schild,synthetisch
Schild nach Winterschäden nicht ersetzt worden.,Markierung oder Schild,synthetisch
Aufkleber ausgenommen Fahrrad abgeblättert.,Markierung oder Schild,synthetisch
Radfahrerampel zeigt seit zwei Wochen kein Signal.,Ampel,synthetisch
Ampel muss besser mit benachbarter Kreuzung abgestimmt werden.,Ampel,synthetisch
Radfahrer-Grünphase endet bevor Fußgänger-Rot zeigt.,Ampel,synthetisch
Grünphase für Radfahrer deutlich kürzer als für Autos.,Ampel,synthetisch
Bedarfsampel auf Radweg ohne erkennbaren Nutzen.,Ampel,synthetisch
Ampel für Einfahrt synchronisiert nicht mit Radfahrer-Ampel.,Ampel,synthetisch
Radfahrer-Ampel erst wenige Meter vor Kreuzung sichtbar.,Ampel,synthetisch
Ampelschaltung für Radfahrer ungünstig auf der Breiten Gasse.,Ampel,synthetisch
Radampel am Donaukanal seit Wochen ausgefallen.,Ampel,synthetisch
Keine eigene Ampel für Radfahrer an dieser Kreuzung.,Ampel,synthetisch
Grünphase zu kurz – Radfahrer kommen nicht durch.,Ampel,synthetisch
Ampelsensor erkennt Fahrräder nicht zuverlässig.,Ampel,synthetisch
Ampel schaltet auf Rot obwohl kein Querverkehr kommt.,Ampel,synthetisch
Radfahrer müssen lange auf Grün warten ohne Grund.,Ampel,synthetisch
Defekte Druckknopf-Ampel auf Hauptradroute.,Ampel,synthetisch
Ampel für Radfahrer nicht vorhanden an stark befahrener Kreuzung.,Ampel,synthetisch
Grünpfeil für Radfahrer fehlt beim Rechtsabbiegen.,Ampel,synthetisch
Radfahrer-Schleuse ohne eigene Ampelphase.,Ampel,synthetisch
Ampelphase zu kurz für Radfahrer mit Lastenrad.,Ampel,synthetisch
Ampel schaltet zu früh auf Rot beim Überqueren.,Ampel,synthetisch
Keine Vorampel für Radfahrer an der Ringstraße.,Ampel,synthetisch
Ampelsignal für Radfahrer nicht sichtbar aus dem Sattel.,Ampel,synthetisch
Gleichzeitig grün für Autos und Radfahrer – gefährlich.,Ampel,synthetisch
Zu lange Rotphase auf ruhiger Nebenstraße.,Ampel,synthetisch
Induktionsschleife erkennt Fahrräder nicht.,Ampel,synthetisch
Ampelsteuerung nach Bauarbeiten nicht angepasst.,Ampel,synthetisch
Radfahrer-Grün startet zu spät nach Fußgänger-Grün.,Ampel,synthetisch
Ampelphase für Radfahrer nicht mit Straßenbahn koordiniert.,Ampel,synthetisch
Wartezeit an Bedarfsampel unverhältnismäßig lang.,Ampel,synthetisch
Radampel blinkt gelb statt grün zu zeigen.,Ampel,synthetisch
Ampel für Radfahrer zeigt Grün aber Fußgänger kommen entgegen.,Ampel,synthetisch
Ampel nicht für Zweirichtungsradweg ausgelegt.,Ampel,synthetisch
Provisorische Ampel nach Unfall falsch eingestellt.,Ampel,synthetisch
Zu kurze Grünphase für Radfahrer beim Linksabbiegen.,Ampel,synthetisch
Ampelschaltung bevorzugt Autos gegenüber Radfahrern.,Ampel,synthetisch
Radampel ohne Countdown-Anzeige für Restzeitanzeige.,Ampel,synthetisch
Ampel für Überquerung der Hauptstraße fehlt.,Ampel,synthetisch
Getrennte Ampelphase für Radfahrer fehlt an Kreuzung.,Ampel,synthetisch
Ampel nach Reparatur falsch justiert.,Ampel,synthetisch
Grünphase startet zu früh – Autos noch in der Kreuzung.,Ampel,synthetisch
Radfahrer müssen Taste drücken – nicht automatisch grün.,Ampel,synthetisch
Ampel bei Unterführung zeigt selten Grün.,Ampel,synthetisch
Signalanlage nicht auf neuen Radweg abgestimmt.,Ampel,synthetisch
Ampelphase für Schulweg zu kurz.,Ampel,synthetisch
Radfahrer werden bei Grün von abbiegenden Autos gefährdet.,Ampel,synthetisch
Neue Ampelanlage ohne Radfahrer berücksichtigt.,Ampel,synthetisch
Ampel für Radfahrer gilt auch für Fußgänger – verwirrend.,Ampel,synthetisch
Radsignal nach Kreuzungsumbau nicht erneuert.,Ampel,synthetisch
Ampel an der Tangente schaltet sehr selten auf Grün.,Ampel,synthetisch
Schlechte Sicht auf Ampel durch Baumwuchs.,Ampel,synthetisch
Ampel weist Radfahrer falsch in Gegenrichtung.,Ampel,synthetisch
Ampelzeiten nicht an Schulzeiten angepasst.,Ampel,synthetisch
Radfahrer-Grün zu kurz für Kreuzung mit Tramgleisen.,Ampel,synthetisch
Sensor funktioniert nur wenn Rad direkt drübersteht.,Ampel,synthetisch
Ampelanlage nach Sturm schief – schwer erkennbar.,Ampel,synthetisch
Zu wenig Zeit für ältere Radfahrer beim Überqueren.,Ampel,synthetisch
Ampel nach Kreuzungsumbau nicht wieder aufgestellt.,Ampel,synthetisch
Zweiradampel zeigt anderes Signal als Fußgängerampel.,Ampel,synthetisch
Ampel für Radfahrer fehlt auf dem neuen Radweg.,Ampel,synthetisch
Radampel oft außer Betrieb – kein Hinweis.,Ampel,synthetisch
Wichtige Verbindung zum Bahnhof Meidling fehlt.,Lückenschluss,synthetisch
Verbindung zwischen Mayerweckstraße und Langenzersdorf fehlt.,Lückenschluss,synthetisch
Kein Radweg auf der Krottenbachstraße in beiden Richtungen.,Lückenschluss,synthetisch
Radweg auf der Rußbergstraße nicht weit genug verlängert.,Lückenschluss,synthetisch
Verbindung zum Marchfeldkanal fehlt.,Lückenschluss,synthetisch
Keine sichere Möglichkeit nach Strebersdorf zu radeln.,Lückenschluss,synthetisch
Radweg fehlt auf stark befahrener Straße trotz genug Platz.,Lückenschluss,synthetisch
Radweg fehlt auf dem Mehrzweckstreifen.,Lückenschluss,synthetisch
Direkte Verbindung vom Donaukanal zur Innenstadt fehlt.,Lückenschluss,synthetisch
Kein Radweg auf der Stadteinfahrt von Norden.,Lückenschluss,synthetisch
Radroute endet abrupt ohne Anschluss an nächste Route.,Lückenschluss,synthetisch
Lücke in der Radroute 8 zwischen zwei Bezirken.,Lückenschluss,synthetisch
Verbindung zwischen Gürtelradweg und Innenstadt fehlt.,Lückenschluss,synthetisch
Fehlende Radwegführung durch den Prater nach Kagran.,Lückenschluss,synthetisch
Keine sichere Radverbindung über die Tangente.,Lückenschluss,synthetisch
Radweg entlang der Donau unterbrochen bei km 12.,Lückenschluss,synthetisch
Verbindung zum Bahnhof Floridsdorf fehlt komplett.,Lückenschluss,synthetisch
Lücke im Radwegenetz zwischen 15. und 16. Bezirk.,Lückenschluss,synthetisch
Kein Radweg auf der Brünner Straße stadtauswärts.,Lückenschluss,synthetisch
Hauptradroute unterbrochen durch Baustellenbereich.,Lückenschluss,synthetisch
Verbindung Simmering – Schwechat für Radfahrer fehlt.,Lückenschluss,synthetisch
Keine Radverbindung entlang der Westbahn.,Lückenschluss,synthetisch
Lücke zwischen Radweg Praterstraße und Donaukanal.,Lückenschluss,synthetisch
Fehlende Route vom Hauptbahnhof zum Belvedere.,Lückenschluss,synthetisch
Kein Radweg auf der Linken Wienzeile stadtauswärts.,Lückenschluss,synthetisch
Radwegnetz endet abrupt an Bezirksgrenze.,Lückenschluss,synthetisch
Fehlende Radverbindung über die Donau bei Floridsdorf.,Lückenschluss,synthetisch
Keine Radroute durch das Museumsquartier.,Lückenschluss,synthetisch
Lücke im Radnetz zwischen Ottakring und Hernals.,Lückenschluss,synthetisch
Verbindung zum Wienerberg fehlt.,Lückenschluss,synthetisch
Keine Möglichkeit auf dem Rad sicher zum Spital zu kommen.,Lückenschluss,synthetisch
Radweg endet vor der Stadtgrenze ohne Anschluss.,Lückenschluss,synthetisch
Fehlende Querverbindung zwischen zwei Hauptradrouten.,Lückenschluss,synthetisch
Kein Radweg auf der Simmeringer Hauptstraße.,Lückenschluss,synthetisch
Direkte Radverbindung zum Flughafen fehlt.,Lückenschluss,synthetisch
Radweg am Wienflussufer unterbrochen.,Lückenschluss,synthetisch
Verbindung vom 21. in den 22. Bezirk fehlt.,Lückenschluss,synthetisch
Keine Radfahrverbindung entlang der Bahn.,Lückenschluss,synthetisch
Fehlende Route vom Westbahnhof zum Naschmarkt.,Lückenschluss,synthetisch
Radweg im Kurpark Oberlaa endet abrupt.,Lückenschluss,synthetisch
Keine sichere Verbindung für Schulkinder im 14. Bezirk.,Lückenschluss,synthetisch
Lücke in der Radroute zwischen Meidling und Favoriten.,Lückenschluss,synthetisch
Radweg auf der Heiligenstädter Straße fehlt.,Lückenschluss,synthetisch
Verbindung vom Augarten zur Innenstadt nicht sicher.,Lückenschluss,synthetisch
Kein Radweg auf dem Abschnitt Rennweg–Erdberg.,Lückenschluss,synthetisch
Fehlende Unterquerung der Tangente für Radfahrer.,Lückenschluss,synthetisch
Keine Radroute durch das Stadtentwicklungsgebiet Aspern.,Lückenschluss,synthetisch
Radweg Floridsdorfer Brücke endet ohne Weiterführung.,Lückenschluss,synthetisch
Direkte Linie vom Zentrum zum AKH für Radfahrer fehlt.,Lückenschluss,synthetisch
Verbindung zwischen Radweg und U-Bahn-Station fehlt.,Lückenschluss,synthetisch
Kein Radweg entlang der Meidlinger Hauptstraße.,Lückenschluss,synthetisch
Lücke in der Radroute zwischen Hietzing und Lainz.,Lückenschluss,synthetisch
Radweg auf der Triester Straße stadtauswärts nicht vorhanden.,Lückenschluss,synthetisch
Keine sichere Route für Radfahrer in Stammersdorf.,Lückenschluss,synthetisch
Verbindung vom Grünen Prater zum Nordbahnhof fehlt.,Lückenschluss,synthetisch
Radweg auf der Favoritenstraße endet zu früh.,Lückenschluss,synthetisch
Fehlende Verbindung zwischen Radroute 14 und Westbahnhof.,Lückenschluss,synthetisch
Kein Radweg auf der Gürtelstrecke im Bereich Ottakring.,Lückenschluss,synthetisch
Schnittstelle zwischen Hauptradrouten nicht ausgebaut.,Lückenschluss,synthetisch
Radweg in der Liesing endet ohne Anschluss.,Lückenschluss,synthetisch
Kreuzung Gumpendorfer Straße – Autos ignorieren Radfahrer beim Abbiegen.,Gefahrenstelle,synthetisch
Schlechte Sicht beim Ausfahren aus der Tiefgarage auf den Radweg.,Gefahrenstelle,synthetisch
Radweg endet direkt vor einer ungesicherten Kreuzung.,Gefahrenstelle,synthetisch
Lastwagen halten auf dem Radstreifen und zwingen Radfahrer auf Fahrbahn.,Gefahrenstelle,synthetisch
Gefährliche Situation beim Einfahren in die Unterführung.,Gefahrenstelle,synthetisch
Keine Trennung zwischen Rad- und Fußgängerweg auf stark frequentierter Route.,Gefahrenstelle,synthetisch
Autofahrer sehen Radfahrer nicht beim Abbiegen aus Parkgarage.,Gefahrenstelle,synthetisch
Überholmanöver von Bussen auf der Praterstraße zu knapp.,Gefahrenstelle,synthetisch
Blinder Fleck beim Abbiegen in die Nebenstraße.,Gefahrenstelle,synthetisch
Radfahrer müssen zwischen Straßenbahngleisen fahren – sehr gefährlich.,Gefahrenstelle,synthetisch
Kreuzung ohne Sichtlinie für Radfahrer die aus der Einbahn kommen.,Gefahrenstelle,synthetisch
PKW fahren auf dem Radweg in der Begegnungszone.,Gefahrenstelle,synthetisch
Gefährliche Situation durch Fußgänger die plötzlich auf Radweg treten.,Gefahrenstelle,synthetisch
Radfahrer werden von Straßenbahn knapp überholt.,Gefahrenstelle,synthetisch
Keine Schutzmaßnahme für Radfahrer bei Baustellen-Umleitung.,Gefahrenstelle,synthetisch
Überholverbot ignoriert – Autos fahren gefährlich nah vorbei.,Gefahrenstelle,synthetisch
Radweg führt direkt in eine unübersichtliche Einfahrt.,Gefahrenstelle,synthetisch
Lieferwagen blockieren regelmäßig die Sicht an der Kreuzung.,Gefahrenstelle,synthetisch
Gefährliches Kopfsteinpflaster auf stark befahrenem Radweg.,Gefahrenstelle,synthetisch
Einmündung ohne Vorrangregelung für Radfahrer.,Gefahrenstelle,synthetisch
Kreuzung bei der Votivkirche – Autos und Radfahrer kollidieren oft.,Gefahrenstelle,synthetisch
Radfahrer werden beim Rechtsabbiegen von Autos geschnitten.,Gefahrenstelle,synthetisch
